value;fin;swe;eng
;;;
49;<50 m;<50 m;<50 m
199;<200 m;<200 m;<200 m
999;<1 km;<1 km;<1 km
4999;<5 km;<5 km;<5 km
5000;>5 km;>5 km;>5 km
