Id;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;ENGLANTI;Ryhmät_ruo;
178;Haikarat;Herons, Bitterns;Ardeidae;Kiinanriisihaikara;Bacchushäger;ARDBAC;Ardeola bacchus;E;Chinese Pond Heron;Härar;
179;Haikarat;Herons, Bitterns;Ardeidae;Lehmähaikara;Kohäger;BUBIBI;Bubulcus ibis;A;Cattle Egret;Härar;
180;Haikarat;Herons, Bitterns;Ardeidae;Egretta (suku);Egretta (släktet);EGRSP;Egretta sp;S;Egretta (genus);Härar;
181;Haikarat;Herons, Bitterns;Ardeidae;Silkkihaikara;Silkeshäger;EGRGAR;Egretta garzetta;A;Little Egret;Härar;
182;Haikarat;Herons, Bitterns;Ardeidae;Jalohaikara;ägretthäger;EGRALB;Egretta alba;A;Great Egret;Härar;
183;Haikarat;Herons, Bitterns;Ardeidae;Harmaahaikaralaji;Ardea (släktet);ARDSP;Ardea sp;S;Ardea (genus);Härar;
184;Haikarat;Herons, Bitterns;Ardeidae;Harmaahaikara;Gråhäger;ARDCIN;Ardea cinerea;A;Grey Heron;Härar;
185;Haikarat;Herons, Bitterns;Ardeidae;Ruskohaikara;Purpurhäger;ARDPUR;Ardea purpurea;A;Purple Heron;Härar;
186;Kattohaikarat;Storks;Ciconiidae;Kattohaikaralaji;Ciconia (släktet);CICSP;Ciconia sp;S;Ciconia (genus);Storkfåglar;
187;Kattohaikarat;Storks;Ciconiidae;Mustahaikara;Svart stork;CICNIG;Ciconia nigra;A;Black Stork;Storkfåglar;
188;Kattohaikarat;Storks;Ciconiidae;Savannihaikara;Abdimstork;CICABD;Ciconia abdimii;E;Abdim's Stork;Storkfåglar;
189;Kattohaikarat;Storks;Ciconiidae;Kattohaikara;Vit stork;CICCIC;Ciconia ciconia;A;White Stork;Storkfåglar;
190;;;;Kattohaikara / kurki;Vit stork / trana;CICCIC/GRUGRU;Ciconia ciconia/Grus grus;S;White Stork / Common Crane;;
191;Iibikset;Ibises, Spoonbills;Threskiornithidae;Pronssi-iibis;Bronsibis;PLEFAL;Plegadis falcinellus;A;Glossy Ibis;Ibisar;
192;Iibikset;Ibises, Spoonbills;Threskiornithidae;Kapustahaikara;Skedstork;PLALEU;Platalea leucorodia;A;Eurasian Spoonbill;Ibisar;
193;Flamingot;Flamingos;Phoenicopteridae;Flamingolaji;Phoenicopterus (släktet);PHOUSSP;Phoenicopterus sp;S;Phoenicopterus (genus);Flamingoer;
194;Flamingot;Flamingos;Phoenicopteridae;Flamingo;Större flamingo;PHOROS;Phoenicopterus roseus;D;Greater Flamingo;Flamingoer;
195;Flamingot;Flamingos;Phoenicopteridae;Pikkuflamingo;Mindre flamingo;PHOMIN;Phoenicopterus minor;E;Lesser Flamingo;Flamingoer;
196;Flamingot;Flamingos;Phoenicopteridae;Chilenflamingo;Chileflamingo;PHOCHI;Phoenicopterus chilensis;E;Chilean Flamingo;Flamingoer;
197;Haukat;Kites, Hawks, Eagles;Accipitridae;Mehiläishaukkalaji;Pernis (släktet);PERNISP;Pernis sp;S;Pernis (genus);Hökartade rovfåglar;
198;Haukat;Kites, Hawks, Eagles;Accipitridae;Mehiläishaukka;Bivråk;PERAPI;Pernis apivorus;A;European Honey Buzzard;Hökartade rovfåglar;
199;Haukat;Kites, Hawks, Eagles;Accipitridae;Haarahaukkalaji;Milvus (släktet);MILSP;Milvus sp;S;Milvus (genus);Hökartade rovfåglar;
200;Haukat;Kites, Hawks, Eagles;Accipitridae;Haarahaukka;Brun glada;MILMIG;Milvus migrans;A;Black Kite;Hökartade rovfåglar;
201;Haukat;Kites, Hawks, Eagles;Accipitridae;Haarahaukka X isohaarahaukka;Brun glada X röd glada;MILMIGXMILMIL;Milvus migrans x milvus;X;Black X Red Kite;Hökartade rovfåglar;
202;Haukat;Kites, Hawks, Eagles;Accipitridae;Isohaarahaukka;Röd glada;MILMIL;Milvus milvus;A;Red Kite;Hökartade rovfåglar;
203;Haukat;Kites, Hawks, Eagles;Accipitridae;Aromerikotka;Bandhavsörn;HALHUS;Haliaeetus leucoryphus;B;Pallas's Fish Eagle;Hökartade rovfåglar;
204;Haukat;Kites, Hawks, Eagles;Accipitridae;Merikotka;Havsörn;HALALB;Haliaeetus albicilla;A;White-tailed Eagle;Hökartade rovfåglar;
205;Haukat;Kites, Hawks, Eagles;Accipitridae;Kuningasmerikotka;Jättehavsörn;HALPEL;Haliaeetus pelagicus;E;Steller's Sea Eagle;Hökartade rovfåglar;
206;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukorppikotka;Smutsgam;NEOPER;Neophron percnopterus;A;Egyptian Vulture;Hökartade rovfåglar;
207;Haukat;Kites, Hawks, Eagles;Accipitridae;Korppikotkalaji;Gyps (släktet);GYPSP;Gyps sp;S;Gyps (genus);Hökartade rovfåglar;
208;Haukat;Kites, Hawks, Eagles;Accipitridae;Hanhikorppikotka;Gåsgam;GYPFUL;Gyps fulvus;A;Griffon Vulture;Hökartade rovfåglar;
209;Haukat;Kites, Hawks, Eagles;Accipitridae;Munkkikorppikotka;Grågam;AEGMON;Aegypius monachus;A;Cinereous Vulture;Hökartade rovfåglar;
210;Haukat;Kites, Hawks, Eagles;Accipitridae;Käärmekotka;Ormörn;CIRGAL;Circaetus gallicus;A;Short-toed Snake Eagle;Hökartade rovfåglar;
211;Haukat;Kites, Hawks, Eagles;Accipitridae;Suohaukkalaji;Circus (släktet);CIRSP;Circus sp;S;Circus (genus);Hökartade rovfåglar;
212;Haukat;Kites, Hawks, Eagles;Accipitridae;Ruskosuohaukka;Brun kärrhök;CIRAER;Circus aeruginosus;A;Western Marsh Harrier;Hökartade rovfåglar;
213;Haukat;Kites, Hawks, Eagles;Accipitridae;Sinisuohaukka;Blå kärrhök;CIRCYA;Circus cyaneus;A;Hen Harrier;Hökartade rovfåglar;
214;Haukat;Kites, Hawks, Eagles;Accipitridae;Sinisuohaukka / arosuohaukka / niittysuohaukka;Blå kärrhök / stäpphök / ängshök;CIRCYA/CIRMAC/CIRPYG;Circus cyaneus/macrourus/pygargus;S;Hen / Pallid / Montagu's Harrier;Hökartade rovfåglar;
215;Haukat;Kites, Hawks, Eagles;Accipitridae;Arosuohaukka;Stäpphök;CIRMAC;Circus macrourus;A;Pallid Harrier;Hökartade rovfåglar;
216;Haukat;Kites, Hawks, Eagles;Accipitridae;Arosuohaukka / niittysuohaukka;Stäpphök / ängshök;CIRMAC/CIRPYG;Circus macrourus/pygargus;S;Pallid / Montagu's Harrier;Hökartade rovfåglar;
217;Haukat;Kites, Hawks, Eagles;Accipitridae;Arosuohaukka X niittysuohaukka;Stäpphök X ängshök;CIRMACXCIRPYG;Circus macrourus x pygargus;X;Pallid X Montagu's Harrier;Hökartade rovfåglar;
218;Haukat;Kites, Hawks, Eagles;Accipitridae;Niittysuohaukka;ängshök;CIRPYG;Circus pygargus;A;Montagu's Harrier;Hökartade rovfåglar;
219;Haukat;Kites, Hawks, Eagles;Accipitridae;Varpushaukkalaji;Accipiter (släktet);ACCSP;Accipites sp;S;Accipiter (genus);Hökartade rovfåglar;
220;Haukat;Kites, Hawks, Eagles;Accipitridae;Kanahaukka;Duvhök;ACCGEN;Accipiter gentilis;A;Northern Goshawk;Hökartade rovfåglar;
221;Haukat;Kites, Hawks, Eagles;Accipitridae;Kanahaukka (alalaji gentilis);Duvhök (rasen gentilis);ACCGENGEN;Accipiter gentilis gentilis;R;Northern Goshawk (subspecies gentilis);Hökartade rovfåglar;
222;Haukat;Kites, Hawks, Eagles;Accipitridae;Kanahaukka (alalaji buteoides);Duvhök (rasen buteoides);ACCGENBUT;Accipiter gentilis buteoides;R;Northern Goshawk (subspecies buteoides);Hökartade rovfåglar;
223;Haukat;Kites, Hawks, Eagles;Accipitridae;Varpushaukka;Sparvhök;ACCNIS;Accipiter nisus;A;Eurasian Sparrowhawk;Hökartade rovfåglar;
224;Haukat;Kites, Hawks, Eagles;Accipitridae;Hiirihaukkalaji;Buteo (släktet);BUTSP;Buteo sp;S;Buteo (genus);Hökartade rovfåglar;
225;Haukat;Kites, Hawks, Eagles;Accipitridae;Mehiläishaukka / hiirihaukka / piekana;Ob. vråk;PER/BUT;Pernis/Buteo;S;European Honey / Common / Rough-legged Buzzard;Hökartade rovfåglar;
226;Haukat;Kites, Hawks, Eagles;Accipitridae;Hiirihaukka;Ormvråk;BUTBUT;Buteo buteo;A;Common Buzzard;Hökartade rovfåglar;
227;Haukat;Kites, Hawks, Eagles;Accipitridae;Hiirihaukka (alalaji buteo);Ormvråk (rasen buteo);BUTBUTBUT;Buteo buteo buteo;R;Common Buzzard (subspecies buteo);Hökartade rovfåglar;
228;Haukat;Kites, Hawks, Eagles;Accipitridae;Hiirihaukka (alalaji vulpinus);Ormvråk (rasen vulpinus);BUTBUTVUL;Buteo buteo vulpinus;R;Common Buzzard (subspecies vulpinus);Hökartade rovfåglar;
229;Haukat;Kites, Hawks, Eagles;Accipitridae;Arohiirihaukka;örnvråk;BUTRUF;Buteo rufinus;A;Long-legged Buzzard;Hökartade rovfåglar;
230;Haukat;Kites, Hawks, Eagles;Accipitridae;Piekana;Fjällvråk;BUTLAG;Buteo lagopus;A;Rough-legged Buzzard;Hökartade rovfåglar;
231;Haukat;Kites, Hawks, Eagles;Accipitridae;Kotkalaji (Aquila);Aquila (släktet);AQUSP;Aquila sp;S;Aquila (genus);Hökartade rovfåglar;
232;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukiljukotka;Mindre skrikörn;AQUPOM;Aquila pomarina;A;Lesser Spotted Eagle;Hökartade rovfåglar;
233;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukiljukotka x kiljukotka;Mindre skrikörn x större skrikörn;AQUPOM X AQUCLA;Aquila pomarina x clanga;X;Lesser X Greater Spotted Eagle;Hökartade rovfåglar;
234;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukiljukotka / kiljukotka / arokotka / keisarikotka;Mindre skrikörn / större skrikörn / stäppörn / kejsarörn;AQUPOM/AQUCLA/AQUNIP/AQUHEL;Aquila pomarina/clanga/nipalensis/heliaca;S;Lesser Spotted / Greater Spotted / Steppe / Eastern Imperial Eagle;Hökartade rovfåglar;
235;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukiljukotka / kiljukotka / arokotka;Mindre skrikörn / större skrikörn / stäppörn;AQUPOM/AQUCLA/AQUNIP;Aquila pomarina/clanga/nipalensis;S;Lesser Spotted / Greater Spotted / Steppe Eagle;Hökartade rovfåglar;
236;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukiljukotka / kiljukotka;Mindre skrikörn / större skrikörn;AQUPOM/AQUCLA;Aquila pomarina/clanga;S;Lesser / Greater Spotted Eagle;Hökartade rovfåglar;
237;Haukat;Kites, Hawks, Eagles;Accipitridae;Kiljukotka;Större skrikörn;AQUCLA;Aquila clanga;A;Greater Spotted Eagle;Hökartade rovfåglar;
238;Haukat;Kites, Hawks, Eagles;Accipitridae;Arokotka;Stäppörn;AQUNIP;Aquila nipalensis;A;Steppe Eagle;Hökartade rovfåglar;
239;Haukat;Kites, Hawks, Eagles;Accipitridae;Arokotka / keisarikotka;Stäppörn / kejsarörn;AQUNIP/AQUHEL;Aquila nipalensis/heliaca;S;Steppe / Eastern Imperial Eagle;Hökartade rovfåglar;
240;Haukat;Kites, Hawks, Eagles;Accipitridae;Keisarikotka;Kejsarörn;AQUHEL;Aquila heliaca;A;Eastern Imperial Eagle;Hökartade rovfåglar;
241;Haukat;Kites, Hawks, Eagles;Accipitridae;Maakotka;Kungsörn;AQUCHR;Aquila chrysaetos;A;Golden Eagle;Hökartade rovfåglar;
242;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukotka;Dvärgörn;AQUPEN;Aquila pennata;A;Booted Eagle;Hökartade rovfåglar;
243;Haukat;Kites, Hawks, Eagles;Accipitridae;Kotkalaji;Ob. örn;HAL/AQU;Haliaeetus/Aquila;S;Eagle species (Haliaeetus / Aquila);Hökartade rovfåglar;
244;Sääkset;Ospreys;Pandionidae;Sääksi;Fiskgjuse;PANHAL;Pandion haliaetus;A;Osprey;Fiskgjusar;
245;Jalohaukat;Falcons;Falconidae;Jalohaukkalaji;Falco (släktet);FALSP;Falco sp;S;Falcon species;Falkfåglar;
246;Jalohaukat;Falcons;Falconidae;Pikkutuulihaukka;Rödfalk;FALNAU;Falco naumanni;A;Lesser Kestrel;Falkfåglar;
247;Jalohaukat;Falcons;Falconidae;Pikkutuulihaukka / tuulihaukka;Rödfalk / tornfalk;FALNAU/FALTIN;Falco naumanni/tinnunculus;S;Lesser / Common Kestrel;Falkfåglar;
248;Jalohaukat;Falcons;Falconidae;Tuulihaukka;Tornfalk;FALTIN;Falco tinnunculus;A;Common Kestrel;Falkfåglar;
249;Jalohaukat;Falcons;Falconidae;Punajalkahaukka;Aftonfalk;FALVES;Falco vespertinus;A;Red-footed Falcon;Falkfåglar;
250;Jalohaukat;Falcons;Falconidae;Punajalkahaukka / nuolihaukka;Aftonfalk / lärkfalk;FALVES/FALSUB;Falco vespertinus/subbuteo;S;Red-footed Falcon / Eurasian Hobby;Falkfåglar;
251;Jalohaukat;Falcons;Falconidae;Ampuhaukka;Stenfalk;FALCOL;Falco columbarius;A;Merlin;Falkfåglar;
252;Jalohaukat;Falcons;Falconidae;Nuolihaukka;Lärkfalk;FALSUB;Falco subbuteo;A;Eurasian Hobby;Falkfåglar;
253;Jalohaukat;Falcons;Falconidae;Välimerenhaukka;Eleonorafalk;FALELE;Falco eleonorae;A;Eleonora's Falcon;Falkfåglar;
254;Jalohaukat;Falcons;Falconidae;Aavikkohaukka;Tatarfalk;FALCHE;Falco cherrug;A;Saker Falcon;Falkfåglar;
255;Jalohaukat;Falcons;Falconidae;Tunturihaukka;Jaktfalk;FALRUS;Falco rusticolus;A;Gyrfalcon;Falkfåglar;
256;Jalohaukat;Falcons;Falconidae;Muuttohaukka;Pilgrimsfalk;FALPER;Falco peregrinus;A;Peregrine Falcon;Falkfåglar;
257;Jalohaukat;Falcons;Falconidae;Muuttohaukka (alalaji peregrinus);Pilgrimsfalk (rasen peregrinus);FALPERPER;Falco peregrinus peregrinus;R;Peregrine Falcon (subspecies peregrinus);Falkfåglar;
258;Jalohaukat;Falcons;Falconidae;Muuttohaukka (alalaji calidus);Pilgrimsfalk (rasen calidus);FALPERCAL;Falco peregrinus calidus;R;Peregrine Falcon (subspecies calidus);Falkfåglar;
259;Jalohaukat;Falcons;Falconidae;Pieni jalohaukka;Liten falk;PFAL;Pieni Falco;S;Small Falcon species;Falkfåglar;
260;Jalohaukat;Falcons;Falconidae;Iso jalohaukka;Stor falk;IFAL;Iso Falco;S;Large Falcon species;Falkfåglar;
261;;;;Päiväpetolintu;Dagrovfågel;P;Päiväpetolintu;S;Accipitriformes;;
262;;;;Iso päiväpetolintu;Stor dagrovfågel;IP;Iso päiväpetolintu;S;Large Accipitriformes;;
263;;;;Pieni päiväpetolintu;Liten dagrovfågel;PP;Pieni päiväpetolintu;S;Small Accipitriformes;;
264;Rantakanat;Rails, Crakes, Coots;Rallidae;Luhtakana;Vattenrall;RALAQU;Rallus aquaticus;A;Water Rail;Rallar;
265;Rantakanat;Rails, Crakes, Coots;Rallidae;Huittilaji;Porzana (släktet);PORSP;Porzana sp;S;Porzana (genus);Rallar;
266;Rantakanat;Rails, Crakes, Coots;Rallidae;Luhtahuitti;Småfläckig sumphöna;PORPOR;Porzana porzana;A;Spotted Crake;Rallar;
267;Rantakanat;Rails, Crakes, Coots;Rallidae;Amerikanhuitti;Karolinasumphöna;PORCAR;Porzana carolinensis;A;Sora Rail;Rallar;
268;Rantakanat;Rails, Crakes, Coots;Rallidae;Pikkuhuitti;Mindre sumphöna;PORPAR;Porzana parva;A;Little Crake;Rallar;
269;Rantakanat;Rails, Crakes, Coots;Rallidae;Pikkuhuitti / kääpiöhuitti;Mindre sumphöna / dvärgsumphöna;PORPAR/PORPUS;Porzana parva/pusilla;S;Little / Baillon's Crake;Rallar;
270;Rantakanat;Rails, Crakes, Coots;Rallidae;Kääpiöhuitti;Dvärgsumphöna;PORPUS;Porzana pusilla;A;Baillon's Crake;Rallar;
271;Rantakanat;Rails, Crakes, Coots;Rallidae;Luhtakana / huittilaji;Vattenrall / sumphöna;RAL/POR;Rallus/Porzana;S;Water Rail / Crake species;Rallar;
272;Rantakanat;Rails, Crakes, Coots;Rallidae;Ruisrääkkä;Kornknarr;CRECRE;Crex crex;A;Corn Crake;Rallar;
273;Rantakanat;Rails, Crakes, Coots;Rallidae;Liejukana;Rörhöna;GALCHL;Gallinula chloropus;A;Common Moorhen;Rallar;
274;Rantakanat;Rails, Crakes, Coots;Rallidae;Liejukana / nokikana;Rörhöna / sothöna;GALCHL/FULATR;Gallinula chloropus/Fulica atra;S;Common Moorhen / Eurasian Coot;Rallar;
275;Rantakanat;Rails, Crakes, Coots;Rallidae;Sulttaanikanalaji;Porphyrio (släktet);PORPHSP;Porphyrio sp;S;Porphyrio (genus);Rallar;
276;Rantakanat;Rails, Crakes, Coots;Rallidae;Kurnuliejukana;Mindre sultanhöna;PORALL;Porphyrio alleni;A;Allen's Gallinule;Rallar;
277;Rantakanat;Rails, Crakes, Coots;Rallidae;Nokikanalaji;Fulica (släktet);FULSP;Fulica sp;S;Fulica (genus);Rallar;
278;Rantakanat;Rails, Crakes, Coots;Rallidae;Nokikana;Sothöna;FULATR;Fulica atra;A;Eurasian Coot;Rallar;
279;Kurjet;Cranes;Gruidae;Kurki;Trana;GRUGRU;Grus grus;A;Common Crane;Tranor;
280;Kurjet;Cranes;Gruidae;Hietakurki;Prärietrana;GRUCAN;Grus canadensis;A;Sandhill Crane;Tranor;
281;Kurjet;Cranes;Gruidae;Neitokurki;Jungfrutrana;GRUVIR;Grus virgo;A;Demoiselle Crane;Tranor;
282;Trapit;Bustards;Otididiae;Pikkutrappi;Småtrapp;TETRAX;Tetrax tetrax;A;Little Bustard;Trappar;
283;Trapit;Bustards;Otididiae;Idänkaulustrappi;Kragtrapp;CHLMAC;Chlamydotis macqueenii;B;Macqueen's Bustard;Trappar;
284;Trapit;Bustards;Otididiae;Isotrappi;Stortrapp;OTITAR;Otis tarda;B;Great Bustard;Trappar;
285;Meriharakat;Oystercatchers;Haematopodidae;Meriharakka;Strandskata;HAEOST;Haematopus ostralegus;A;Eurasian Oystercatcher;Strandskator;
286;Avosetit;Stilts, Avocets;Recurvirostridae;Pitkäjalka;Styltlöpare;HIMHIM;Himantopus himantopus;A;Black-winged Stilt;Styltlöpare, skärfläckor;
287;Avosetit;Stilts, Avocets;Recurvirostridae;Avosetti;Skärfläcka;RECAVO;Recurvirostra avosetta;A;Pied Avocet;Styltlöpare, skärfläckor;
288;Paksujalat;Stone-Curlews;Burhinidae;Paksujalka;Tjockfot;BUROED;Burhinus oedicnemus;A;Eurasian Stone-curlew;Tjockfotar;
289;Pääskykahlaajat;Coursers, Pranticoles;Glareolidae;Aavikkojuoksija;ökenlöpare;CURCUR;Cursorius cursor;A;Cream-colored Courser;Vadarsvalor, ökenlöpare;
290;Pääskykahlaajat;Coursers, Pranticoles;Glareolidae;Kahlaajapääskylaji;Glareola (släktet);GLASP;Glareola sp;S;Glareola (genus);Vadarsvalor, ökenlöpare;
291;Pääskykahlaajat;Coursers, Pranticoles;Glareolidae;Pääskykahlaaja;Rödvingad vadarsvala;GLAPRA;Glareola pratincola;A;Collared Pratincole;Vadarsvalor, ökenlöpare;
292;Pääskykahlaajat;Coursers, Pranticoles;Glareolidae;Aropääskykahlaaja;Svartvingad vadarsvala;GLANOR;Glareola nordmanni;A;Black-winged Pratincole;Vadarsvalor, ökenlöpare;
293;Kurmitsat;Plovers;Charadriidae;Tyllilaji;Charadrius (släktet);CHASP;Charadrius sp;S;Charadrius (genus);Pipare, vipor;
294;Kurmitsat;Plovers;Charadriidae;Pikkutylli;Mindre strandpipare;CHADUB;Charadrius dubius;A;Little Ringed Plover;Pipare, vipor;
295;Kurmitsat;Plovers;Charadriidae;Pikkutylli / tylli;Mindre strandpipare / större strandpipare;CHADUB/CHAHIA;Charadrius dubius/hiaticula;S;Little / Common Ringed Plover;Pipare, vipor;
296;Kurmitsat;Plovers;Charadriidae;Tylli;Större strandpipare;CHAHIA;Charadrius hiaticula;A;Common Ringed Plover;Pipare, vipor;
297;Kurmitsat;Plovers;Charadriidae;Mustajalkatylli;Svartbent strandpipare;CHAALE;Charadrius alexandrinus;A;Kentish Plover;Pipare, vipor;
298;Kurmitsat;Plovers;Charadriidae;Ylänkötylli;Mongolpipare;CHAMON;Charadrius mongolus;A;Lesser Sand Plover;Pipare, vipor;
299;Kurmitsat;Plovers;Charadriidae;Ylänkötylli / aavikkotylli;Mongolpipare / ökenpipare;CHAMON/CHALES;Charadrius mongolus/leschenaultii;S;Lesser / Greater Sand Plover;Pipare, vipor;
300;Kurmitsat;Plovers;Charadriidae;Aavikkotylli;ökenpipare;CHALES;Charadrius leschenaultii;A;Greater Sand Plover;Pipare, vipor;
301;Kurmitsat;Plovers;Charadriidae;Kaspiantylli;Kaspisk pipare;CHAASI;Charadrius asiaticus;A;Caspian Plover;Pipare, vipor;
302;Kurmitsat;Plovers;Charadriidae;Gobintylli;Orientpipare;CHAVER;Charadrius veredus;A;Oriental Plover;Pipare, vipor;
303;Kurmitsat;Plovers;Charadriidae;Keräkurmitsa;Fjällpipare;CHAMOR;Charadrius morinellus;A;Eurasian Dotterel;Pipare, vipor;
304;Kurmitsat;Plovers;Charadriidae;Kurmitsalaji;Pluvialis (släktet);PLUSP;Pluvialis sp;S;Pluvialis (genus);Pipare, vipor;
305;Kurmitsat;Plovers;Charadriidae;Amerikankurmitsa;Amerikansk tundrapipare;PLUDOM;Pluvialis dominica;A;American Golden Plover;Pipare, vipor;
306;Kurmitsat;Plovers;Charadriidae;Amerikankurmitsa / siperiankurmitsa;Amerikansk tundrapipare / sibirisk tundrapipare;PLUDOM/PLUFUL;Pluvialis dominica/fulva;S;American / Pacific Golden Plover;Pipare, vipor;
307;Kurmitsat;Plovers;Charadriidae;Siperiankurmitsa;Sibirisk tundrapipare;PLUFUL;Pluvialis fulva;A;Pacific Golden Plover;Pipare, vipor;
308;Kurmitsat;Plovers;Charadriidae;Kapustarinta;Ljungpipare;PLUAPR;Pluvialis apricaria;A;European Golden Plover;Pipare, vipor;
309;Kurmitsat;Plovers;Charadriidae;Tundrakurmitsa;Kustpipare;PLUSQU;Pluvialis squatarola;A;Grey Plover;Pipare, vipor;
310;Kurmitsat;Plovers;Charadriidae;Arohyyppä;Stäppvipa;VANGRE;Vanellus gregarius;A;Sociable Lapwing;Pipare, vipor;
311;Kurmitsat;Plovers;Charadriidae;Suohyyppä;Sumpvipa;VANLEU;Vanellus leucurus;A;White-tailed Lapwing;Pipare, vipor;
312;Kurmitsat;Plovers;Charadriidae;Töyhtöhyyppä;Tofsvipa;VANVAN;Vanellus vanellus;A;Northern Lapwing;Pipare, vipor;
313;Kurpat;Sandpipers, Snipes;Scolopacidae;Sirrilaji;Calidris (släktet);CALSP;Calidris sp;S;Calidris (genus);Snäppor;
314;Kurpat;Sandpipers, Snipes;Scolopacidae;Isosirri;Kustsnäppa;CALCAN;Calidris canutus;A;Red Knot;Snäppor;
315;Kurpat;Sandpipers, Snipes;Scolopacidae;Isosirri / kuovisirri;Kustsnäppa / spovsnäppa;CALCAN/CALFER;Calidris canutus/ferruginea;S;Red Knot / Curlew Sandpiper;Snäppor;
316;Kurpat;Sandpipers, Snipes;Scolopacidae;Pulmussirri;Sandlöpare;CALALB;Calidris alba;A;Sanderling;Snäppor;
317;Kurpat;Sandpipers, Snipes;Scolopacidae;Rusokaulasirri;Rödhalsad snäppa;CALLIS;Calidris ruficollis;A;Red-necked Stint;Snäppor;
318;Kurpat;Sandpipers, Snipes;Scolopacidae;Pikkusirri;Småsnäppa;CALUTA;Calidris minuta;A;Little Stint;Snäppor;
319;Kurpat;Sandpipers, Snipes;Scolopacidae;Pikkusirri / lapinsirri;Småsnäppa / mosnäppa;CALUTA/CALTEM;Calidris minuta/temminckii;S;Little / Temminck's Stint;Snäppor;
320;Kurpat;Sandpipers, Snipes;Scolopacidae;Lapinsirri;Mosnäppa;CALTEM;Calidris temminckii;A;Temminck's Stint;Snäppor;
321;Kurpat;Sandpipers, Snipes;Scolopacidae;Siperiansirri;Långtåsnäppa;CALSUB;Calidris subminuta;A;Long-toed Stint;Snäppor;
322;Kurpat;Sandpipers, Snipes;Scolopacidae;Amerikansirri;Dvärgsnäppa;CALLLA;Calidris minutilla;B;Least Sandpiper;Snäppor;
323;Kurpat;Sandpipers, Snipes;Scolopacidae;Valkoperäsirri;Vitgumpsnäppa;CALFUS;Calidris fuscicollis;A;White-rumped Sandpiper;Snäppor;
324;Kurpat;Sandpipers, Snipes;Scolopacidae;Eskimosirri;Gulbröstad snäppa;CALBAI;Calidris bairdii;A;Baird's Sandpiper;Snäppor;
325;Kurpat;Sandpipers, Snipes;Scolopacidae;Palsasirri;Tuvsnäppa;CALMEL;Calidris melanotos;A;Pectoral Sandpiper;Snäppor;
326;Kurpat;Sandpipers, Snipes;Scolopacidae;Suippopyrstösirri;Spetsstjärtad snäppa;CALACU;Calidris acuminata;A;Sharp-tailed Sandpiper;Snäppor;
327;Kurpat;Sandpipers, Snipes;Scolopacidae;Kuovisirri;Spovsnäppa;CALFER;Calidris ferruginea;A;Curlew Sandpiper;Snäppor;
328;Kurpat;Sandpipers, Snipes;Scolopacidae;Pitkäkoipisirri;Styltsnäppa;CALHIM;Calidris himantopus;A;Stilt Sandpiper;Snäppor;
329;Kurpat;Sandpipers, Snipes;Scolopacidae;Merisirri;Skärsnäppa;CALMAR;Calidris maritima;A;Purple Sandpiper;Snäppor;
330;Kurpat;Sandpipers, Snipes;Scolopacidae;Suosirri;Kärrsnäppa;CALALP;Calidris alpina;A;Dunlin;Snäppor;
331;Kurpat;Sandpipers, Snipes;Scolopacidae;Etelänsuosirri;Kärrsnäppa (rasen schinzii);CALALPSCH;Calidris alpina schinzii;R;Dunlin (subspecies schinzii);Snäppor;
332;Kurpat;Sandpipers, Snipes;Scolopacidae;Suosirri (alalaji alpina);Kärrsnäppa (rasen alpina);CALALPALP;Calidris alpina alpina;R;Dunlin (subspecies alpina);Snäppor;
333;Kurpat;Sandpipers, Snipes;Scolopacidae;Jänkäsirriäinen;Myrsnäppa;LIMFAL;Limicola falcinellus;A;Broad-billed Sandpiper;Snäppor;
334;Kurpat;Sandpipers, Snipes;Scolopacidae;Tundravikla;Prärielöpare;TRYSUB;Tryngites subruficollis;A;Buff-breasted Sandpiper;Snäppor;
335;Kurpat;Sandpipers, Snipes;Scolopacidae;Suokukko;Brushane;PHIPUG;Philomachus pugnax;A;Ruff;Snäppor;
336;Kurpat;Sandpipers, Snipes;Scolopacidae;Jänkäkurppa;Dvärgbeckasin;LYMMIN;Lymnocryptes minimus;A;Jack Snipe;Snäppor;
337;Kurpat;Sandpipers, Snipes;Scolopacidae;Taivaanvuohilaji;Gallinago (släktet);GALSP;Gallinago sp;S;Gallinago (genus);Snäppor;
338;Kurpat;Sandpipers, Snipes;Scolopacidae;Taivaanvuohi;Enkelbeckasin;GALGAL;Gallinago gallinago;A;Common Snipe;Snäppor;
339;Kurpat;Sandpipers, Snipes;Scolopacidae;Siperiankurppa;Taigabeckasin;GALMEG;Gallinago megala;A;Swinhoe's Snipe;Snäppor;
340;Kurpat;Sandpipers, Snipes;Scolopacidae;Amerikantaivaanvuohi;Wilsonbeckasin;GALDEL;Gallinago delicata;A;Wilson's Snipe;Snäppor;
