Id;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;ENGLANTI;Ryhmät_ruo;
39;Hanhet;Geese;Anatidae;Sepelhanhi (alalaji hrota);Prutgås (rasen hrota);BRABERHRO;Branta bernicla hrota;R;Brent Goose (subspecies hrota);Gäss;
40;Hanhet;Geese;Anatidae;Sepelhanhi (alalaji bernicla);Prutgås (rasen bernicla);BRABERBER;Branta bernicla bernicla;R;Brent Goose (subspecies bernicla);Gäss;
41;Hanhet;Geese;Anatidae;Sepelhanhi (alalaji nigricans);Prutgås (rasen nigricans);BRABERNIG;Branta bernicla nigricans;R;Brent Goose (subspecies nigricans);Gäss;
42;Hanhet;Geese;Anatidae;Punakaulahanhi;Rödhalsad gås;BRARUF;Branta ruficollis;A;Red-breasted Goose;Gäss;
43;Hanhet;Geese;Anatidae;Afrikanhanhi;Nilgås;ALOAEG;Alopochen aegyptiaca;E;Egyptian Goose;Gäss;
44;Hanhet;Geese;Anatidae;Hanhiristeymä;Gåshybrid;XAB;x Anser Branta;X;Hybrid Goose;Gäss;
45;Sorsat;Ducks;Anatidae;Ruostesorsa;Rostand;TADFER;Tadorna ferruginea;A;Ruddy Shelduck;Änder;
46;Sorsat;Ducks;Anatidae;Ristisorsa;Gravand;TADTAD;Tadorna tadorna;A;Common Shelduck;Änder;
47;Sorsat;Ducks;Anatidae;Mandariinisorsalaji;Aix (släktet);AIXSP;Aix sp;S;Aix (genus);Änder;
48;Sorsat;Ducks;Anatidae;Morsiosorsa;Brudand;AIXSPO;Aix sponsa;E;Wood Duck;Änder;
49;Sorsat;Ducks;Anatidae;Mandariinisorsa;Mandarinand;AIXGAL;Aix galericulata;C;Mandarin Duck;Änder;
50;Sorsat;Ducks;Anatidae;Sorsalaji;Anas (släktet);ANASP;Anas sp;S;Hybrid Anas;Änder;
51;Sorsat;Ducks;Anatidae;Haapana;Bläsand;ANAPEN;Anas penelope;A;Eurasian Wigeon;Änder;
52;Sorsat;Ducks;Anatidae;Haapana X amerikanhaapana;Bläsand X amerikansk bläsand;ANAPENXANAAME;Anas penelope x americana;X;Eurasian X American Wigeon;Änder;
53;Sorsat;Ducks;Anatidae;Haapana X harmaasorsa;Bläsand X snatterand;ANAPENXANASTR;Anas penelope x strepera;X;Eurasian Wigeon X Gadwall;Änder;
54;Sorsat;Ducks;Anatidae;Haapana X sinisorsa;Bläsand X gräsand;ANAPENXANAPLA;Anas penelope x platyrhynchos;X;Eurasian Wigeon X Mallard;Änder;
55;Sorsat;Ducks;Anatidae;Haapana X jouhisorsa;Bläsand X stjärtand;ANAPENXANAACU;Anas penelope x acuta;X;Eurasian Wigeon X Northern Pintail;Änder;
56;Sorsat;Ducks;Anatidae;Amerikanhaapana;Amerikansk bläsand;ANAAME;Anas americana;A;American Wigeon;Änder;
57;Sorsat;Ducks;Anatidae;Sirppisorsa;Praktand;ANAFAL;Anas falcata;D;Falcated Teal;Änder;
58;Sorsat;Ducks;Anatidae;Harmaasorsa;Snatterand;ANASTR;Anas strepera;A;Gadwall;Änder;
59;Sorsat;Ducks;Anatidae;Harmaasorsa X sinisorsa;Snatterand X gräsand;ANASTRXANAPLA;Anas strepera x platyrhynchos;X;Gadwall X Mallard;Änder;
60;Sorsat;Ducks;Anatidae;Siperiantavi;Gulkindad kricka;ANAFOR;Anas formosa;E;Baikal Teal;Änder;
61;Sorsat;Ducks;Anatidae;Tavi;Kricka;ANACRE;Anas crecca;A;Eurasian Teal;Änder;
62;Sorsat;Ducks;Anatidae;Tavi / heinätavi;Kricka / årta;ANACRE/ANAQUE;Anas crecca x querquedula;X;Eurasian Teal / Garganey;Änder;
63;Sorsat;Ducks;Anatidae;Tavi X amerikantavi;Kricka X amerikansk kricka;ANACREXANACAR;Anas crecca x carolinensis;X;Eurasian X green-winged Teal;Änder;
64;Sorsat;Ducks;Anatidae;Tavi X sinisorsa;Kricka X gräsand;ANACREXANAPLA;Anas crecca x platyrhynchos;X;Eurasian Teal X Mallard;Änder;
65;Sorsat;Ducks;Anatidae;Amerikantavi;Amerikansk kricka;ANACAR;Anas carolinensis;A;Green-winged Teal;Änder;
66;Sorsat;Ducks;Anatidae;Sinisorsa;Gräsand;ANAPLA;Anas platyrhynchos;A;Mallard;Änder;
67;Sorsat;Ducks;Anatidae;Sinisorsa X jouhisorsa;Gräsand X stjärtand;ANAPLAXANAACU;Anas platyrhynchos x acuta;X;Mallard X Northern Pintail;Änder;
68;Sorsat;Ducks;Anatidae;Sinisorsa X lapasorsa;Gräsand X skedand;ANAPLAXANACLY;Anas platyrhynchos x clypeata;X;Mallard X Northern Shoveler;Änder;
69;Sorsat;Ducks;Anatidae;Nokisorsa;Svartand;ANARUB;Anas rubripes;A;American Black Duck;Änder;
70;Sorsat;Ducks;Anatidae;Jouhisorsa;Stjärtand;ANAACU;Anas acuta;A;Northern Pintail;Änder;
71;Sorsat;Ducks;Anatidae;Heinätavi;Årta;ANAQUE;Anas querquedula;A;Garganey;Änder;
72;Sorsat;Ducks;Anatidae;Sinisiipitavi;Blåvingad årta;ANADIS;Anas discors;A;Blue-winged Teal;Änder;
73;Sorsat;Ducks;Anatidae;Lapasorsa;Skedand;ANACLY;Anas clypeata;A;Northern Shoveler;Änder;
74;Sorsat;Ducks;Anatidae;Patagonianhaapana;Patagonisk bläsand;ANASIB;Anas sibilatrix;E;Chiloe Wigeon;Änder;
75;Sorsat;Ducks;Anatidae;Valkoposkisorsa;Bahamaand;ANABAH;Anas bahamensis;E;White-cheeked Pintail;Änder;
