;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;
214;Haukat;Kites, Hawks, Eagles;Accipitridae;Sinisuohaukka / arosuohaukka / niittysuohaukka;Blå kärrhök / stäpphök / ängshök;CIRCYA/CIRMAC/CIRPYG;Circus cyaneus/macrourus/pygargus;S;
215;Haukat;Kites, Hawks, Eagles;Accipitridae;Arosuohaukka;Stäpphök;CIRMAC;Circus macrourus;A;
216;Haukat;Kites, Hawks, Eagles;Accipitridae;Arosuohaukka / niittysuohaukka;Stäpphök / ängshök;CIRMAC/CIRPYG;Circus macrourus/pygargus;S;
217;Haukat;Kites, Hawks, Eagles;Accipitridae;Arosuohaukka X niittysuohaukka;Stäpphök X ängshök;CIRMACXCIRPYG;Circus macrourus x pygargus;X;
218;Haukat;Kites, Hawks, Eagles;Accipitridae;Niittysuohaukka;ängshök;CIRPYG;Circus pygargus;A;
219;Haukat;Kites, Hawks, Eagles;Accipitridae;Varpushaukkalaji;Accipiter (släktet);ACCSP;Accipites sp;S;
220;Haukat;Kites, Hawks, Eagles;Accipitridae;Kanahaukka;Duvhök;ACCGEN;Accipiter gentilis;A;
221;Haukat;Kites, Hawks, Eagles;Accipitridae;Kanahaukka (alalaji gentilis);Duvhök (rasen gentilis);ACCGENGEN;Accipiter gentilis gentilis;R;
222;Haukat;Kites, Hawks, Eagles;Accipitridae;Kanahaukka (alalaji buteoides);Duvhök (rasen buteoides);ACCGENBUT;Accipiter gentilis buteoides;R;
223;Haukat;Kites, Hawks, Eagles;Accipitridae;Varpushaukka;Sparvhök;ACCNIS;Accipiter nisus;A;
224;Haukat;Kites, Hawks, Eagles;Accipitridae;Hiirihaukkalaji;Buteo (släktet);BUTSP;Buteo sp;S;
225;Haukat;Kites, Hawks, Eagles;Accipitridae;Mehiläishaukka / hiirihaukka / piekana;Ob. vråk;PER/BUT;Pernis/Buteo;S;
226;Haukat;Kites, Hawks, Eagles;Accipitridae;Hiirihaukka;Ormvråk;BUTBUT;Buteo buteo;A;
227;Haukat;Kites, Hawks, Eagles;Accipitridae;Hiirihaukka (alalaji buteo);Ormvråk (rasen buteo);BUTBUTBUT;Buteo buteo buteo;R;
228;Haukat;Kites, Hawks, Eagles;Accipitridae;Hiirihaukka (alalaji vulpinus);Ormvråk (rasen vulpinus);BUTBUTVUL;Buteo buteo vulpinus;R;
229;Haukat;Kites, Hawks, Eagles;Accipitridae;Arohiirihaukka;örnvråk;BUTRUF;Buteo rufinus;A;
230;Haukat;Kites, Hawks, Eagles;Accipitridae;Piekana;Fjällvråk;BUTLAG;Buteo lagopus;A;
231;Haukat;Kites, Hawks, Eagles;Accipitridae;Kotkalaji (Aquila);Aquila (släktet);AQUSP;Aquila sp;S;
232;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukiljukotka;Mindre skrikörn;AQUPOM;Aquila pomarina;A;
233;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukiljukotka x kiljukotka;Mindre skrikörn x större skrikörn;AQUPOM X AQUCLA;Aquila pomarina x clanga;X;
234;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukiljukotka / kiljukotka / arokotka / keisarikotka;Mindre skrikörn / större skrikörn / stäppörn / kejsarörn;AQUPOM/AQUCLA/AQUNIP/AQUHEL;Aquila pomarina/clanga/nipalensis/heliaca;S;
235;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukiljukotka / kiljukotka / arokotka;Mindre skrikörn / större skrikörn / stäppörn;AQUPOM/AQUCLA/AQUNIP;Aquila pomarina/clanga/nipalensis;S;
236;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukiljukotka / kiljukotka;Mindre skrikörn / större skrikörn;AQUPOM/AQUCLA;Aquila pomarina/clanga;S;
237;Haukat;Kites, Hawks, Eagles;Accipitridae;Kiljukotka;Större skrikörn;AQUCLA;Aquila clanga;A;
238;Haukat;Kites, Hawks, Eagles;Accipitridae;Arokotka;Stäppörn;AQUNIP;Aquila nipalensis;A;
239;Haukat;Kites, Hawks, Eagles;Accipitridae;Arokotka / keisarikotka;Stäppörn / kejsarörn;AQUNIP/AQUHEL;Aquila nipalensis/heliaca;S;
240;Haukat;Kites, Hawks, Eagles;Accipitridae;Keisarikotka;Kejsarörn;AQUHEL;Aquila heliaca;A;
241;Haukat;Kites, Hawks, Eagles;Accipitridae;Maakotka;Kungsörn;AQUCHR;Aquila chrysaetos;A;
242;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukotka;Dvärgörn;AQUPEN;Aquila pennata;A;
243;Haukat;Kites, Hawks, Eagles;Accipitridae;Kotkalaji;Ob. örn;HAL/AQU;Haliaeetus/Aquila;S;
244;Sääkset;Ospreys;Pandionidae;Sääksi;Fiskgjuse;PANHAL;Pandion haliaetus;A;
245;Jalohaukat;Falcons;Falconidae;Jalohaukkalaji;Falco (släktet);FALSP;Falco sp;S;
246;Jalohaukat;Falcons;Falconidae;Pikkutuulihaukka;Rödfalk;FALNAU;Falco naumanni;A;
247;Jalohaukat;Falcons;Falconidae;Pikkutuulihaukka / tuulihaukka;Rödfalk / tornfalk;FALNAU/FALTIN;Falco naumanni/tinnunculus;S;
248;Jalohaukat;Falcons;Falconidae;Tuulihaukka;Tornfalk;FALTIN;Falco tinnunculus;A;
249;Jalohaukat;Falcons;Falconidae;Punajalkahaukka;Aftonfalk;FALVES;Falco vespertinus;A;
250;Jalohaukat;Falcons;Falconidae;Punajalkahaukka / nuolihaukka;Aftonfalk / lärkfalk;FALVES/FALSUB;Falco vespertinus/subbuteo;S;
251;Jalohaukat;Falcons;Falconidae;Ampuhaukka;Stenfalk;FALCOL;Falco columbarius;A;
252;Jalohaukat;Falcons;Falconidae;Nuolihaukka;Lärkfalk;FALSUB;Falco subbuteo;A;
253;Jalohaukat;Falcons;Falconidae;Välimerenhaukka;Eleonorafalk;FALELE;Falco eleonorae;A;
254;Jalohaukat;Falcons;Falconidae;Aavikkohaukka;Tatarfalk;FALCHE;Falco cherrug;A;
255;Jalohaukat;Falcons;Falconidae;Tunturihaukka;Jaktfalk;FALRUS;Falco rusticolus;A;
256;Jalohaukat;Falcons;Falconidae;Muuttohaukka;Pilgrimsfalk;FALPER;Falco peregrinus;A;
257;Jalohaukat;Falcons;Falconidae;Muuttohaukka (alalaji peregrinus);Pilgrimsfalk (rasen peregrinus);FALPERPER;Falco peregrinus peregrinus;R;
258;Jalohaukat;Falcons;Falconidae;Muuttohaukka (alalaji calidus);Pilgrimsfalk (rasen calidus);FALPERCAL;Falco peregrinus calidus;R;
259;Jalohaukat;Falcons;Falconidae;Pieni jalohaukka;Liten falk;PFAL;Pieni Falco;S;
260;Jalohaukat;Falcons;Falconidae;Iso jalohaukka;Stor falk;IFAL;Iso Falco;S;
261;;;;Päiväpetolintu;Dagrovfågel;P;Päiväpetolintu;S;
262;;;;Iso päiväpetolintu;Stor dagrovfågel;IP;Iso päiväpetolintu;S;
263;;;;Pieni päiväpetolintu;Liten dagrovfågel;PP;Pieni päiväpetolintu;S;
264;Rantakanat;Rails, Crakes, Coots;Rallidae;Luhtakana;Vattenrall;RALAQU;Rallus aquaticus;A;
265;Rantakanat;Rails, Crakes, Coots;Rallidae;Huittilaji;Porzana (släktet);PORSP;Porzana sp;S;
266;Rantakanat;Rails, Crakes, Coots;Rallidae;Luhtahuitti;Småfläckig sumphöna;PORPOR;Porzana porzana;A;
267;Rantakanat;Rails, Crakes, Coots;Rallidae;Amerikanhuitti;Karolinasumphöna;PORCAR;Porzana carolinensis;A;
268;Rantakanat;Rails, Crakes, Coots;Rallidae;Pikkuhuitti;Mindre sumphöna;PORPAR;Porzana parva;A;
269;Rantakanat;Rails, Crakes, Coots;Rallidae;Pikkuhuitti / kääpiöhuitti;Mindre sumphöna / dvärgsumphöna;PORPAR/PORPUS;Porzana parva/pusilla;S;
270;Rantakanat;Rails, Crakes, Coots;Rallidae;Kääpiöhuitti;Dvärgsumphöna;PORPUS;Porzana pusilla;A;
271;Rantakanat;Rails, Crakes, Coots;Rallidae;Luhtakana / huittilaji;Vattenrall / sumphöna;RAL/POR;Rallus/Porzana;S;
272;Rantakanat;Rails, Crakes, Coots;Rallidae;Ruisrääkkä;Kornknarr;CRECRE;Crex crex;A;
273;Rantakanat;Rails, Crakes, Coots;Rallidae;Liejukana;Rörhöna;GALCHL;Gallinula chloropus;A;
274;Rantakanat;Rails, Crakes, Coots;Rallidae;Liejukana / nokikana;Rörhöna / sothöna;GALCHL/FULATR;Gallinula chloropus/Fulica atra;S;
275;Rantakanat;Rails, Crakes, Coots;Rallidae;Sulttaanikanalaji;Porphyrio (släktet);PORPHSP;Porphyrio sp;S;
276;Rantakanat;Rails, Crakes, Coots;Rallidae;Kurnuliejukana;Mindre sultanhöna;PORALL;Porphyrio alleni;A;
277;Rantakanat;Rails, Crakes, Coots;Rallidae;Nokikanalaji;Fulica (släktet);FULSP;Fulica sp;S;
278;Rantakanat;Rails, Crakes, Coots;Rallidae;Nokikana;Sothöna;FULATR;Fulica atra;A;
279;Kurjet;Cranes;Gruidae;Kurki;Trana;GRUGRU;Grus grus;A;
280;Kurjet;Cranes;Gruidae;Hietakurki;Prärietrana;GRUCAN;Grus canadensis;A;
281;Kurjet;Cranes;Gruidae;Neitokurki;Jungfrutrana;GRUVIR;Grus virgo;A;
282;Trapit;Bustards;Otidae;Pikkutrappi;Småtrapp;TETRAX;Tetrax tetrax;A;
283;Trapit;Bustards;Otidae;Idänkaulustrappi;Kragtrapp;CHLMAC;Chlamydotis macqueenii;B;
284;Trapit;Bustards;Otidae;Isotrappi;Stortrapp;OTITAR;Otis tarda;B;
285;Meriharakat;Oystercatchers;Haematopodidae;Meriharakka;Strandskata;HAEOST;Haematopus ostralegus;A;
286;Avosetit;Stilts, Avocets;Recurvirostridae;Pitkäjalka;Styltlöpare;HIMHIM;Himantopus himantopus;A;
287;Avosetit;Stilts, Avocets;Recurvirostridae;Avosetti;Skärfläcka;RECAVO;Recurvirostra avosetta;A;
288;Paksujalat;Stone-Curlews;Burhinidae;Paksujalka;Tjockfot;BUROED;Burhinus oedicnemus;A;
289;Pääskykahlaajat;Coursers, Pranticoles;Glareolidae;Aavikkojuoksija;ökenlöpare;CURCUR;Cursorius cursor;A;
290;Pääskykahlaajat;Coursers, Pranticoles;Glareolidae;Kahlaajapääskylaji;Glareola (släktet);GLASP;Glareola sp;S;
291;Pääskykahlaajat;Coursers, Pranticoles;Glareolidae;Pääskykahlaaja;Rödvingad vadarsvala;GLAPRA;Glareola pratincola;A;
292;Pääskykahlaajat;Coursers, Pranticoles;Glareolidae;Aropääskykahlaaja;Svartvingad vadarsvala;GLANOR;Glareola nordmanni;A;
293;Kurmitsat;Plovers;Charadriidae;Tyllilaji;Charadrius (släktet);CHASP;Charadrius sp;S;
294;Kurmitsat;Plovers;Charadriidae;Pikkutylli;Mindre strandpipare;CHADUB;Charadrius dubius;A;
295;Kurmitsat;Plovers;Charadriidae;Pikkutylli / tylli;Mindre strandpipare / större strandpipare;CHADUB/CHAHIA;Charadrius dubius/hiaticula;S;
296;Kurmitsat;Plovers;Charadriidae;Tylli;Större strandpipare;CHAHIA;Charadrius hiaticula;A;
297;Kurmitsat;Plovers;Charadriidae;Mustajalkatylli;Svartbent strandpipare;CHAALE;Charadrius alexandrinus;A;
298;Kurmitsat;Plovers;Charadriidae;Ylänkötylli;Mongolpipare;CHAMON;Charadrius mongolus;A;
299;Kurmitsat;Plovers;Charadriidae;Ylänkötylli / aavikkotylli;Mongolpipare / ökenpipare;CHAMON/CHALES;Charadrius mongolus/leschenaultii;S;
300;Kurmitsat;Plovers;Charadriidae;Aavikkotylli;ökenpipare;CHALES;Charadrius leschenaultii;A;
301;Kurmitsat;Plovers;Charadriidae;Kaspiantylli;Kaspisk pipare;CHAASI;Charadrius asiaticus;A;
302;Kurmitsat;Plovers;Charadriidae;Gobintylli;Orientpipare;CHAVER;Charadrius veredus;A;
303;Kurmitsat;Plovers;Charadriidae;Keräkurmitsa;Fjällpipare;CHAMOR;Charadrius morinellus;A;
304;Kurmitsat;Plovers;Charadriidae;Kurmitsalaji;Pluvialis (släktet);PLUSP;Pluvialis sp;S;
305;Kurmitsat;Plovers;Charadriidae;Amerikankurmitsa;Amerikansk tundrapipare;PLUDOM;Pluvialis dominica;A;
306;Kurmitsat;Plovers;Charadriidae;Amerikankurmitsa / siperiankurmitsa;Amerikansk tundrapipare / sibirisk tundrapipare;PLUDOM/PLUFUL;Pluvialis dominica/fulva;S;
307;Kurmitsat;Plovers;Charadriidae;Siperiankurmitsa;Sibirisk tundrapipare;PLUFUL;Pluvialis fulva;A;
308;Kurmitsat;Plovers;Charadriidae;Kapustarinta;Ljungpipare;PLUAPR;Pluvialis apricaria;A;
309;Kurmitsat;Plovers;Charadriidae;Tundrakurmitsa;Kustpipare;PLUSQU;Pluvialis squatarola;A;
310;Kurmitsat;Plovers;Charadriidae;Arohyyppä;Stäppvipa;VANGRE;Vanellus gregarius;A;
311;Kurmitsat;Plovers;Charadriidae;Suohyyppä;Sumpvipa;VANLEU;Vanellus leucurus;A;
312;Kurmitsat;Plovers;Charadriidae;Töyhtöhyyppä;Tofsvipa;VANVAN;Vanellus vanellus;A;
313;Kurpat;Sandpipers, Snipes;Scolopacidae;Sirrilaji;Calidris (släktet);CALSP;Calidris sp;S;
314;Kurpat;Sandpipers, Snipes;Scolopacidae;Isosirri;Kustsnäppa;CALCAN;Calidris canutus;A;
315;Kurpat;Sandpipers, Snipes;Scolopacidae;Isosirri / kuovisirri;Kustsnäppa / spovsnäppa;CALCAN/CALFER;Calidris canutus/ferruginea;S;
316;Kurpat;Sandpipers, Snipes;Scolopacidae;Pulmussirri;Sandlöpare;CALALB;Calidris alba;A;
317;Kurpat;Sandpipers, Snipes;Scolopacidae;Rusokaulasirri;Rödhalsad snäppa;CALLIS;Calidris ruficollis;A;
318;Kurpat;Sandpipers, Snipes;Scolopacidae;Pikkusirri;Småsnäppa;CALUTA;Calidris minuta;A;
319;Kurpat;Sandpipers, Snipes;Scolopacidae;Pikkusirri / lapinsirri;Småsnäppa / mosnäppa;CALUTA/CALTEM;Calidris minuta/temminckii;S;
320;Kurpat;Sandpipers, Snipes;Scolopacidae;Lapinsirri;Mosnäppa;CALTEM;Calidris temminckii;A;
321;Kurpat;Sandpipers, Snipes;Scolopacidae;Siperiansirri;Långtåsnäppa;CALSUB;Calidris subminuta;A;
322;Kurpat;Sandpipers, Snipes;Scolopacidae;Amerikansirri;Dvärgsnäppa;CALLLA;Calidris minutilla;B;
323;Kurpat;Sandpipers, Snipes;Scolopacidae;Valkoperäsirri;Vitgumpsnäppa;CALFUS;Calidris fuscicollis;A;
324;Kurpat;Sandpipers, Snipes;Scolopacidae;Eskimosirri;Gulbröstad snäppa;CALBAI;Calidris bairdii;A;
325;Kurpat;Sandpipers, Snipes;Scolopacidae;Palsasirri;Tuvsnäppa;CALMEL;Calidris melanotos;A;
326;Kurpat;Sandpipers, Snipes;Scolopacidae;Suippopyrstösirri;Spetsstjärtad snäppa;CALACU;Calidris acuminata;A;
327;Kurpat;Sandpipers, Snipes;Scolopacidae;Kuovisirri;Spovsnäppa;CALFER;Calidris ferruginea;A;
328;Kurpat;Sandpipers, Snipes;Scolopacidae;Pitkäkoipisirri;Styltsnäppa;CALHIM;Calidris himantopus;A;
329;Kurpat;Sandpipers, Snipes;Scolopacidae;Merisirri;Skärsnäppa;CALMAR;Calidris maritima;A;
330;Kurpat;Sandpipers, Snipes;Scolopacidae;Suosirri;Kärrsnäppa;CALALP;Calidris alpina;A;
331;Kurpat;Sandpipers, Snipes;Scolopacidae;Etelänsuosirri;Kärrsnäppa (rasen schinzii);CALALPSCH;Calidris alpina schinzii;R;
332;Kurpat;Sandpipers, Snipes;Scolopacidae;Suosirri (alalaji alpina);Kärrsnäppa (rasen alpina);CALALPALP;Calidris alpina alpina;R;
333;Kurpat;Sandpipers, Snipes;Scolopacidae;Jänkäsirriäinen;Myrsnäppa;LIMFAL;Limicola falcinellus;A;
334;Kurpat;Sandpipers, Snipes;Scolopacidae;Tundravikla;Prärielöpare;TRYSUB;Tryngites subruficollis;A;
335;Kurpat;Sandpipers, Snipes;Scolopacidae;Suokukko;Brushane;PHIPUG;Philomachus pugnax;A;
336;Kurpat;Sandpipers, Snipes;Scolopacidae;Jänkäkurppa;Dvärgbeckasin;LYMMIN;Lymnocryptes minimus;A;
337;Kurpat;Sandpipers, Snipes;Scolopacidae;Taivaanvuohilaji;Gallinago (släktet);GALSP;Gallinago sp;S;
338;Kurpat;Sandpipers, Snipes;Scolopacidae;Taivaanvuohi;Enkelbeckasin;GALGAL;Gallinago gallinago;A;
339;Kurpat;Sandpipers, Snipes;Scolopacidae;Siperiankurppa;Taigabeckasin;GALMEG;Gallinago megala;A;
340;Kurpat;Sandpipers, Snipes;Scolopacidae;Amerikantaivaanvuohi;Wilsonbeckasin;GALDEL;Gallinago delicata;A;
341;Kurpat;Sandpipers, Snipes;Scolopacidae;Heinäkurppa;Dubbelbeckasin;GALMED;Gallinago media;A;
342;Kurpat;Sandpipers, Snipes;Scolopacidae;Jänkäkurppa / taivaanvuohi / heinäkurppa;Ob. beckasin;LYM/GAL;Lymnocryptes/Gallinago;S;
343;Kurpat;Sandpipers, Snipes;Scolopacidae;Kurppelolaji;Limnodromus (släktet);LIMNOSP;Limnodromus sp;S;
344;Kurpat;Sandpipers, Snipes;Scolopacidae;Tundrakurppelo;Större beckasinsnäppa;LIMSCO;Limnodromus scolopaceus;A;
345;Kurpat;Sandpipers, Snipes;Scolopacidae;Lehtokurppa;Morkulla;SCORUS;Scolopax rusticola;A;
346;Kurpat;Sandpipers, Snipes;Scolopacidae;Kuirilaji;Limosa (släktet);LIMSP;Limosa sp;S;
347;Kurpat;Sandpipers, Snipes;Scolopacidae;Mustapyrstökuiri;Rödspov;LIMLIM;Limosa limosa;A;
348;Kurpat;Sandpipers, Snipes;Scolopacidae;Mustapyrstökuiri (alalaji islandica);Rödspov (rasen islandica);LIMLIMISL;Limosa limosa islandica;R;
349;Kurpat;Sandpipers, Snipes;Scolopacidae;Punakuiri;Myrspov;LIMLAP;Limosa lapponica;A;
350;Kurpat;Sandpipers, Snipes;Scolopacidae;Kuovilaji;Numenius (släktet);NUMSP;Numenius sp;S;
351;Kurpat;Sandpipers, Snipes;Scolopacidae;Taigakuovi;Dvärgspov;NUMMIN;Numenius minutus;A;
352;Kurpat;Sandpipers, Snipes;Scolopacidae;Pikkukuovi;Småspov;NUMPHA;Numenius phaeopus;A;
353;Kurpat;Sandpipers, Snipes;Scolopacidae;Kuovi;Storspov;NUMARQ;Numenius arquata;A;
354;Kurpat;Sandpipers, Snipes;Scolopacidae;Kuirilaji / kuovilaji;Ob. spov;LIM/NUM;Limosa/Numenius;S;
355;Kurpat;Sandpipers, Snipes;Scolopacidae;Viklolaji;Tringa (släktet);TRISP;Tringa sp;S;
356;Kurpat;Sandpipers, Snipes;Scolopacidae;Mustaviklo;Svartsnäppa;TRIERY;Tringa erythropus;A;
357;Kurpat;Sandpipers, Snipes;Scolopacidae;Punajalkaviklo;Rödbena;TRITOT;Tringa totanus;A;
358;Kurpat;Sandpipers, Snipes;Scolopacidae;Lampiviklo;Dammsnäppa;TRISTA;Tringa stagnatilis;A;
359;Kurpat;Sandpipers, Snipes;Scolopacidae;Valkoviklo;Gluttsnäppa;TRINEB;Tringa nebularia;A;
360;Kurpat;Sandpipers, Snipes;Scolopacidae;Keltajalkaviklo;Mindre gulbena;TRIFLA;Tringa flavipes;A;
361;Kurpat;Sandpipers, Snipes;Scolopacidae;Metsäviklo;Skogssnäppa;TRIOCH;Tringa ochropus;A;
362;Kurpat;Sandpipers, Snipes;Scolopacidae;Liro;Grönbena;TRIGLA;Tringa glareola;A;
363;Kurpat;Sandpipers, Snipes;Scolopacidae;Rantakurvi;Tereksnäppa;XENCIN;Xenus cinereus;A;
364;Kurpat;Sandpipers, Snipes;Scolopacidae;Rantasipilaji;Actitis (släktet);ACTSP;Actitis sp;S;
365;Kurpat;Sandpipers, Snipes;Scolopacidae;Rantasipi;Drillsnäppa;ACTHYP;Actitis hypoleucos;A;
366;Kurpat;Sandpipers, Snipes;Scolopacidae;Amerikansipi;Fläckdrillsnäppa;ACTMAC;Actitis macularius;A;
367;Kurpat;Sandpipers, Snipes;Scolopacidae;Preeriaviklo;Willetsnäppa;CATSEM;Catoptrophorus semipalmatus;A;
368;Kurpat;Sandpipers, Snipes;Scolopacidae;Karikukko;Roskarl;AREINT;Arenaria interpres;A;
369;Kurpat;Sandpipers, Snipes;Scolopacidae;Vesipääskylaji;Phalaropus (släktet);PHAUSSP;Phalaropus sp;S;
370;Kurpat;Sandpipers, Snipes;Scolopacidae;Amerikanvesipääsky;Wilsonsimsnäppa;PHATRI;Phalaropus tricolor;A;
371;Kurpat;Sandpipers, Snipes;Scolopacidae;Vesipääsky;Smalnäbbad simsnäppa;PHALOB;Phalaropus lobatus;A;
372;Kurpat;Sandpipers, Snipes;Scolopacidae;Vesipääsky / isovesipääsky;Smalnäbbad simsnäppa / brednäbbad simsnäppa;PHALOB/PHAFUL;Phalaropus lobatus/fulicarius;S;
373;Kurpat;Sandpipers, Snipes;Scolopacidae;Isovesipääsky;Brednäbbad simsnäppa;PHAFUL;Phalaropus fulicarius;A;
374;;;;Kahlaajaristeymä;Vadarhybrid;XK;X Kahlaajaristeymä;X;
375;;;;Kahlaaja;Ob. vadare;K;Kahlaaja;S;
376;;;;Iso kahlaaja;Stor vadare;IK;Iso kahlaaja;S;
377;;;;Keskikokoinen kahlaaja;Medelstor vadare;KK;Keskikokoinen kahlaaja;S;
378;;;;Pieni kahlaaja;Liten vadare;PK;Pieni kahlaaja;S;
379;;;;Keskikokoinen / iso kahlaaja;Medelstor / stor vadare;KK/IK;Keskikokoinen / iso kahlaaja;S;
380;;;;Pieni / keskikokoinen kahlaaja;Liten / medelstor vadare;PK/KK;Pieni / keskikokoinen kahlaaja;S;
381;Kihut;Skuas;Stercorariidae;Kihulaji;Stercorarius (släktet);STERCSP;Stercorarius sp;S;
382;Kihut;Skuas;Stercorariidae;Leveäpyrstökihu;Bredstjärtad labb;STEPOM;Stercorarius pomarinus;A;
383;Kihut;Skuas;Stercorariidae;Leveäpyrstökihu / merikihu;Bredstjärtad labb / kustlabb;STEPOM/STECUS;Stercorarius pomarinus/parasiticus;S;
384;Kihut;Skuas;Stercorariidae;Merikihu;Kustlabb;STECUS;Stercorarius parasiticus;A;
385;Kihut;Skuas;Stercorariidae;Tunturikihu;Fjällabb;STELON;Stercorarius longicaudus;A;
386;Kihut;Skuas;Stercorariidae;Isokihu;Storlabb;STESKU;Stercorarius skua;A;
387;Lokit;Gulls;Laridae;Lokkilaji;Larus (släktet);LARSP;Larus sp;S;
388;Lokit;Gulls;Laridae;Mustanmerenlokki;Svarthuvad mås;LARMEL;Larus melanocephalus;A;
389;Lokit;Gulls;Laridae;Nokisiipilokki;Sotvingad mås;LARATR;Larus atricilla;A;
390;Lokit;Gulls;Laridae;Preerianaurulokki;Präriemås;LARPIP;Larus pipixcan;A;
391;Lokit;Gulls;Laridae;Pikkulokki;Dvärgmås;HYDMIN;Hydrocoloeus minutus;A;
392;Lokit;Gulls;Laridae;Pikkulokki / pikkukajava;Dvärgmås / tretåig mås;LARMIN/RISTRI;Hydrocoloeus minutus/Rissa tridactyla;S;
393;Lokit;Gulls;Laridae;Tiiralokki;Tärnmås;XEMSAB;Xema sabini;A;
394;Lokit;Gulls;Laridae;Naurulokki;Skrattmås;LARRID;Larus ridibundus;A;
395;Lokit;Gulls;Laridae;Kaitanokkalokki;Långnäbbad mås;LARGEN;Larus genei;A;
396;Lokit;Gulls;Laridae;Välimerenlokki;Rödnäbbad trut;LARAUD;larus audouinii;A;
397;Lokit;Gulls;Laridae;Kalalokki;Fiskmås;LARCAN;Larus canus;A;
398;Lokit;Gulls;Laridae;Kalalokki (alalaji canus);Fiskmås (rasen canus);LARCANCAN;Larus canus canus;R;
399;Lokit;Gulls;Laridae;Kalalokki (alalaji heinei);Fiskmås (rasen heinei);LARCANHEI;Larus canus heinei;R;
400;Lokit;Gulls;Laridae;Kalalokki / harmaalokki;Fiskmås / gråtrut;LARCAN/LARARG;Larus canus/argentatus;S;
401;Lokit;Gulls;Laridae;Selkälokki;Silltrut;LARFUS;Larus fuscus;A;
402;Lokit;Gulls;Laridae;Selkälokki (alalaji graellsii);Silltrut (rasen graellsii);LARFUSGRA;Larus fuscus graellsii;R;
403;Lokit;Gulls;Laridae;Selkälokki (alalaji intermedius);Silltrut (rasen intermedius);LARFUSINT;Larus fuscus intermedius;R;
404;Lokit;Gulls;Laridae;Selkälokki (alalaji fuscus);Silltrut (rasen fuscus);LARFUSFUS;Larus fuscus fuscus;R;
405;Lokit;Gulls;Laridae;Selkälokki (alalaji heuglini);Silltrut (rasen heuglini);LARFUSHEU;Larus fuscus heuglini;R;
406;Lokit;Gulls;Laridae;Selkälokki / merilokki;Silltrut / havstrut;LARFUS/LARMAR;Larus fuscus/marinus;S;
407;Lokit;Gulls;Laridae;Selkälokki (alalaji graellsii) / selkälokki (alalaji intermedius) / selkälokki (alalaji heuglini);Silltrut (rasen graellsii) / silltrut (rasen intermedius) / silltrut (rasen heuglini);LARFUSGRA/LARFUSINT/LARFUSHEU;Larus fuscus graellsii/intermedius/heuglini;S;
408;Lokit;Gulls;Laridae;Selkälokki (alalaji graellsii) / selkälokki (alalaji intermedius);Silltrut (rasen graellsii) / silltrut (rasen intermedius);LARFUSGRA/LARFUSINT;Larus fuscus graellsii/intermedius;S;
409;Lokit;Gulls;Laridae;Selkälokki X harmaalokki;Silltrut X gråtrut;LARFUSXLARARG;Larus fuscus x argentatus;X;
410;Lokit;Gulls;Laridae;Harmaalokki;Gråtrut;LARARG;Larus argentatus;A;
411;Lokit;Gulls;Laridae;Harmaalokki / aroharmaalokki;Gråtrut / kaspisk trut;LARARG/LARCAC;Larus argentatus x cachinnans;X;
412;Lokit;Gulls;Laridae;Harmaalokki X grönlanninlokki;Gråtrut X vitvingad trut;LARARGXLARGLA;Larus argentatus x glaucoides;X;
413;Lokit;Gulls;Laridae;Harmaalokki X isolokki;Gråtrut X vittrut;LARARGXLARHYP;Larus argentatus x hyperboreus;X;
414;Lokit;Gulls;Laridae;Harmaalokki X merilokki;Gråtrut X havstrut;LARARGXLARMAR;Larus argentatus x marinus;X;
415;Lokit;Gulls;Laridae;Etelänharmaalokki;Medelhavstrut;LARMIC;Larus michahellis;A;
416;Lokit;Gulls;Laridae;Aroharmaalokki;Kaspisk trut;LARCAC;Larus cachinnans;A;
417;Lokit;Gulls;Laridae;Grönlanninlokki;Vitvingad trut;LARGLA;Larus glaucoides;A;
418;Lokit;Gulls;Laridae;Grönlanninlokki (alalaji glaucoides);Vitvingad trut (rasen glaucoides);LARGLAGLA;Larus glaucoides glaucoides;R;
419;Lokit;Gulls;Laridae;Grönlanninlokki (alalaji kumlieni);Vitvingad trut (rasen kumlieni);LARGLAKUM;Larus glaucoides kumlieni;R;
420;Lokit;Gulls;Laridae;Grönlanninlokki / isolokki;Vitvingad trut / vittrut;LARGLA/LARHYP;Larus glaucoides/hyperboreus;S;
421;Lokit;Gulls;Laridae;Isolokki;Vittrut;LARHYP;Larus hyperboreus;A;
422;Lokit;Gulls;Laridae;Merilokki;Havstrut;LARMAR;Larus marinus;A;
423;Lokit;Gulls;Laridae;Merilokki / harmaalokki / selkälokki / isolokki;Ob. trut;ILAR;Iso Larus;S;
424;Lokit;Gulls;Laridae;Ruusulokki;Rosenmås;RHOROS;Rhodostethia rosea;A;
