;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;
51;Sorsat;Ducks;Anatidae;Haapana;Bläsand;ANAPEN;Anas penelope;A;
52;Sorsat;Ducks;Anatidae;Haapana X amerikanhaapana;Bläsand X amerikansk bläsand;ANAPENXANAAME;Anas penelope x americana;X;
53;Sorsat;Ducks;Anatidae;Haapana X harmaasorsa;Bläsand X snatterand;ANAPENXANASTR;Anas penelope x strepera;X;
54;Sorsat;Ducks;Anatidae;Haapana X sinisorsa;Bläsand X gräsand;ANAPENXANAPLA;Anas penelope x platyrhynchos;X;
55;Sorsat;Ducks;Anatidae;Haapana X jouhisorsa;Bläsand X stjärtand;ANAPENXANAACU;Anas penelope x acuta;X;
56;Sorsat;Ducks;Anatidae;Amerikanhaapana;Amerikansk bläsand;ANAAME;Anas americana;A;
57;Sorsat;Ducks;Anatidae;Sirppisorsa;Praktand;ANAFAL;Anas falcata;D;
58;Sorsat;Ducks;Anatidae;Harmaasorsa;Snatterand;ANASTR;Anas strepera;A;
59;Sorsat;Ducks;Anatidae;Harmaasorsa X sinisorsa;Snatterand X gräsand;ANASTRXANAPLA;Anas strepera x platyrhynchos;X;
60;Sorsat;Ducks;Anatidae;Siperiantavi;Gulkindad kricka;ANAFOR;Anas formosa;E;
61;Sorsat;Ducks;Anatidae;Tavi;Kricka;ANACRE;Anas crecca;A;
62;Sorsat;Ducks;Anatidae;Tavi / heinätavi;Kricka / årta;ANACRE/ANAQUE;Anas crecca x querquedula;X;
63;Sorsat;Ducks;Anatidae;Tavi X amerikantavi;Kricka X amerikansk kricka;ANACREXANACAR;Anas crecca x carolinensis;X;
64;Sorsat;Ducks;Anatidae;Tavi X sinisorsa;Kricka X gräsand;ANACREXANAPLA;Anas crecca x platyrhynchos;X;
65;Sorsat;Ducks;Anatidae;Amerikantavi;Amerikansk kricka;ANACAR;Anas carolinensis;A;
66;Sorsat;Ducks;Anatidae;Sinisorsa;Gräsand;ANAPLA;Anas platyrhynchos;A;
67;Sorsat;Ducks;Anatidae;Sinisorsa X jouhisorsa;Gräsand X stjärtand;ANAPLAXANAACU;Anas platyrhynchos x acuta;X;
68;Sorsat;Ducks;Anatidae;Sinisorsa X lapasorsa;Gräsand X skedand;ANAPLAXANACLY;Anas platyrhynchos x clypeata;X;
69;Sorsat;Ducks;Anatidae;Nokisorsa;Svartand;ANARUB;Anas rubripes;A;
70;Sorsat;Ducks;Anatidae;Jouhisorsa;Stjärtand;ANAACU;Anas acuta;A;
71;Sorsat;Ducks;Anatidae;Heinätavi;Årta;ANAQUE;Anas querquedula;A;
72;Sorsat;Ducks;Anatidae;Sinisiipitavi;Blåvingad årta;ANADIS;Anas discors;A;
73;Sorsat;Ducks;Anatidae;Lapasorsa;Skedand;ANACLY;Anas clypeata;A;
74;Sorsat;Ducks;Anatidae;Patagonianhaapana;Patagonisk bläsand;ANASIB;Anas sibilatrix;E;
75;Sorsat;Ducks;Anatidae;Valkoposkisorsa;Bahamaand;ANABAH;Anas bahamensis;E;
76;Sorsat;Ducks;Anatidae;Punatavi;Kanelårta;ANACYA;Anas cyanoptera;E;
