Kunta;place_fi;wgs;ykj;town_sv;place_sv;town_en;place_en;country_fi;country_sv;country_en;organization;org_abbrev
Lappeenranta;Karhusjärvi, Saimaan Ladun maja;61.0334:28.3436;6770096:3572791;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Karhusjärvi, Uimaranta;61.0353:28.3589;6770322:3573614;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Kaukaan Biopuhdistamo, Katselupaikka;61.0679:28.2252;6773814:3566318;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Kivisalmi (Taipalsaarentie);61.0983:28.1326;6777111:3561258;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Korkkitehtaanranta;61.0565:28.1647;6772477:3563073;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Luukkaansalmen veneranta;61.0782:28.2549;6774993:3567900;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Luukkaansalmi, Eteläranta;61.0783:28.2526;6774991:3567776;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Luukkaansalmi, pohjoisrannan kallio;61.0811:28.2504;6775308:3567651;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Luukkaansalmi, Silta;61.0798:28.2507;6775165:3567672;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Mikonsaaren silta;61.0897:28.2040;6776221:3565129;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Murheistenranta;61.0817:28.3095;6775438:3570840;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Nuijamaanjärvi, Kotosenlahti;60.9736:28.5511;6763675:3584163;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Pappilanniemi;61.0741:28.2067;6774483:3565308;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Pappilanniemi, talviruokinnat;61.0710:28.2118;6774145:3565590;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Pikisaaren silta;61.0698:28.1759;6773975:3563651;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Sammonlahden uimaranta;61.0526:28.1183;6772003:3560578;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Sammonlahti, Huhtiniemen uimaranta;61.0556:28.1318;6772352:3561300;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Sammonlahti, Skinnarilan uimaranta;61.0584:28.1071;6772639:3559959;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Tervahaudanlahti, Skinnarila;61.0654:28.0980;6773409:3559458;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Toikansuo, kaatopaikka;61.0269:28.1991;6769219:3564994;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Toikansuo, kompostialue;61.0304:28.2005;6769605:3565062;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Tuosa;61.0919:28.2503;6776506:3567624;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Tyysterniemen uimaranta;61.0703:28.1503;6773999:3562268;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Uittimensalmi, Skinnarila;61.0705:28.0950;6773976:3559283;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Vainikkala, Telkjärvi, silta;60.8595:28.3002;6750666:3570828;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Vainikkala, Telkjärvi (yksityinen torni);60.8607:28.2985;6750799:3570734;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Lappeenranta;Voisalmi, uimaranta;61.0837:28.1379;6775484:3561576;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
